102年10月01日 三大法人日交易資訊（含普通股、鉅額、零股）依股票代碼排序 
代號,名稱,外資及陸資買股數,外資及陸資賣股數,外資及陸資淨買股數,投信買進股數,投信賣股數,投信淨買股數,自營商買股數,自營商賣股數,自營淨買股數,三大法人買賣超股數
"006201 ","寶富櫃  ","                0","                0","                0","                0","                0","                0","           80,000","                0","           80,000","           80,000"
"1558   ","伸興    ","                0","            4,000","           -4,000","           10,000","                0","           10,000","           24,000","            2,000","           22,000","           28,000"
"1565   ","精華    ","           64,000","           59,724","            4,276","                0","            1,000","           -1,000","            4,000","           12,000","           -8,000","           -4,724"
"1566   ","捷邦    ","            1,000","            8,000","           -7,000","                0","                0","                0","                0","                0","                0","           -7,000"
"1569   ","濱川    ","           14,000","                0","           14,000","                0","                0","                0","                0","           12,000","          -12,000","            2,000"
"1580   ","新麥    ","            5,000","            5,000","                0","           54,000","                0","           54,000","           24,000","            6,000","           18,000","           72,000"
"1597   ","直得    ","            1,000","            1,000","                0","                0","                0","                0","                0","                0","                0","                0"
"1599   ","宏佳騰  ","                0","                0","                0","           15,000","                0","           15,000","                0","                0","                0","           15,000"
"1752   ","南光    ","            6,000","           16,000","          -10,000","                0","                0","                0","                0","                0","                0","          -10,000"
"1781   ","合世    ","                0","                0","                0","                0","                0","                0","                0","           59,000","          -59,000","          -59,000"
"1784   ","訊聯    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"1785   ","光洋科  ","           10,000","           66,000","          -56,000","                0","                0","                0","            8,000","           42,000","          -34,000","          -90,000"
"1787   ","福盈科  ","            2,000","                0","            2,000","                0","                0","                0","                0","                0","                0","            2,000"
"1788   ","杏昌    ","           17,000","                0","           17,000","                0","                0","                0","                0","                0","                0","           17,000"
"1795   ","美時    ","           82,000","            1,000","           81,000","                0","                0","                0","          238,000","                0","          238,000","          319,000"
"1799   ","紅電醫  ","           16,000","                0","           16,000","                0","                0","                0","                0","                0","                0","           16,000"
"1813   ","寶利徠  ","            2,000","                0","            2,000","                0","                0","                0","                0","                0","                0","            2,000"
"1815   ","富喬    ","           40,000","                0","           40,000","                0","                0","                0","           26,000","           70,000","          -44,000","           -4,000"
"2066   ","世德    ","                0","                0","                0","                0","                0","                0","           20,000","                0","           20,000","           20,000"
"2233   ","宇隆    ","           22,000","                0","           22,000","                0","                0","                0","           50,000","                0","           50,000","           72,000"
"2636   ","台驊    ","           12,000","                0","           12,000","                0","                0","                0","                0","                0","                0","           12,000"
"2640   ","大車隊  ","           15,000","            1,000","           14,000","            5,000","                0","            5,000","            7,000","           25,000","          -18,000","            1,000"
"2719   ","燦星旅  ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"2729   ","瓦城    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"2924   ","F-東凌  ","            1,000","                0","            1,000","                0","                0","                0","                0","            4,000","           -4,000","           -3,000"
"2926   ","誠品生  ","            8,000","            2,000","            6,000","            7,000","                0","            7,000","            6,000","           26,000","          -20,000","           -7,000"
"3078   ","僑威    ","           33,000","                0","           33,000","                0","                0","                0","                0","                0","                0","           33,000"
"3083   ","網龍    ","                0","                0","                0","                0","                0","                0","                0","            4,000","           -4,000","           -4,000"
"3085   ","久大    ","            8,000","                0","            8,000","                0","                0","                0","                0","                0","                0","            8,000"
"3086   ","華義    ","                0","            6,000","           -6,000","                0","                0","                0","                0","                0","                0","           -6,000"
"3088   ","艾訊    ","            4,000","            6,000","           -2,000","                0","           81,000","          -81,000","                0","          225,000","         -225,000","         -308,000"
"3089   ","展成    ","           46,000","          114,000","          -68,000","                0","                0","                0","                0","                0","                0","          -68,000"
"3095   ","及成    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3105   ","穩懋    ","           41,000","          159,000","         -118,000","            8,000","                0","            8,000","          755,000","           58,000","          697,000","          587,000"
"3118   ","進階    ","            3,000","                0","            3,000","                0","                0","                0","                0","                0","                0","            3,000"
"3128   ","昇銳    ","           10,000","           26,000","          -16,000","                0","                0","                0","                0","                0","                0","          -16,000"
"3131   ","弘塑    ","           13,000","            1,450","           11,550","                0","                0","                0","            1,000","            2,000","           -1,000","           10,550"
"3144   ","新揚科  ","            7,000","                0","            7,000","                0","                0","                0","                0","                0","                0","            7,000"
"3152   ","璟德    ","           16,000","                0","           16,000","                0","                0","                0","            5,000","           14,000","           -9,000","            7,000"
"3163   ","波若威  ","           14,000","           48,000","          -34,000","          128,000","                0","          128,000","                0","                0","                0","           94,000"
"3169   ","亞信    ","           44,000","           15,000","           29,000","                0","                0","                0","                0","                0","                0","           29,000"
"3176   ","基亞    ","           32,000","            1,000","           31,000","                0","                0","                0","           28,000","          143,000","         -115,000","          -84,000"
"3191   ","和進    ","           46,000","            2,000","           44,000","                0","                0","                0","                0","                0","                0","           44,000"
"3205   ","佰研    ","            8,000","                0","            8,000","                0","                0","                0","                0","                0","                0","            8,000"
"3211   ","順達    ","           76,000","           76,000","                0","                0","                0","                0","           79,000","           21,000","           58,000","           58,000"
"3213   ","茂訊    ","            2,000","                0","            2,000","                0","                0","                0","                0","                0","                0","            2,000"
"3218   ","大學光  ","            6,000","            6,000","                0","                0","                0","                0","                0","                0","                0","                0"
