103年06月26日 三大法人日交易資訊（含普通股、鉅額、零股）依股票代碼排序 不含綜合帳戶之投信買賣成交量
代號,名稱,外資及陸資買股數,外資及陸資賣股數,外資及陸資淨買股數,投信買進股數,投信賣股數,投信淨買股數,自營商買股數,自營商賣股數,自營淨買股數,三大法人買賣超股數
"006201 ","寶富櫃  ","                0","                0","                0","                0","                0","                0","           99,000","                0","           99,000","           99,000"
"1256   ","F-鮮活  ","           19,000","           20,000","           -1,000","                0","            7,000","           -7,000","           61,000","           10,000","           51,000","           43,000"
"1336   ","台翰    ","            5,000","                0","            5,000","                0","                0","                0","                0","                0","                0","            5,000"
"1558   ","伸興    ","            8,000","           18,000","          -10,000","                0","           20,000","          -20,000","            1,000","           13,000","          -12,000","          -42,000"
"1565   ","精華    ","           26,179","           15,000","           11,179","                0","                0","                0","           61,000","           13,000","           48,000","           59,179"
"1566   ","捷邦    ","                0","            3,000","           -3,000","                0","                0","                0","                0","                0","                0","           -3,000"
"1569   ","濱川    ","           10,000","           20,000","          -10,000","                0","                0","                0","                0","                0","                0","          -10,000"
"1580   ","新麥    ","           54,000","           21,000","           33,000","                0","           50,000","          -50,000","                0","                0","                0","          -17,000"
"1586   ","和勤    ","            2,000","                0","            2,000","                0","                0","                0","                0","                0","                0","            2,000"
"1591   ","F-駿吉  ","                0","                0","                0","                0","                0","                0","           10,000","                0","           10,000","           10,000"
"1593   ","祺驊    ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"1595   ","川寶    ","            9,000","                0","            9,000","                0","                0","                0","                0","                0","                0","            9,000"
"1742   ","台蠟    ","            4,000","           21,000","          -17,000","                0","                0","                0","                0","                0","                0","          -17,000"
"1752   ","南光    ","                0","            4,000","           -4,000","                0","                0","                0","                0","                0","                0","           -4,000"
"1777   ","生泰    ","                0","            9,000","           -9,000","                0","                0","                0","                0","                0","                0","           -9,000"
"1781   ","合世    ","            2,000","            2,000","                0","                0","                0","                0","                0","                0","                0","                0"
"1784   ","訊聯    ","                0","           29,000","          -29,000","                0","                0","                0","                0","                0","                0","          -29,000"
"1785   ","光洋科  ","          290,000","           23,000","          267,000","                0","                0","                0","          244,000","          239,000","            5,000","          272,000"
"1787   ","福盈科  ","            7,000","            4,000","            3,000","          837,000","                0","          837,000","           10,000","                0","           10,000","          850,000"
"1788   ","杏昌    ","           71,000","            4,000","           67,000","                0","                0","                0","                0","                0","                0","           67,000"
"1795   ","美時    ","          139,000","           46,000","           93,000","          455,000","                0","          455,000","          200,000","          160,000","           40,000","          588,000"
"1799   ","紅電醫  ","           10,000","           17,000","           -7,000","                0","                0","                0","                0","                0","                0","           -7,000"
"1813   ","寶利徠  ","            4,000","                0","            4,000","                0","                0","                0","                0","                0","                0","            4,000"
"1815   ","富喬    ","                0","            2,000","           -2,000","                0","                0","                0","          269,000","          102,000","          167,000","          165,000"
"2035   ","唐榮    ","            5,000","                0","            5,000","                0","                0","                0","                0","                0","                0","            5,000"
"2061   ","風青    ","            3,000","                0","            3,000","                0","                0","                0","                0","                0","                0","            3,000"
"2066   ","世德    ","                0","                0","                0","                0","                0","                0","            1,000","            7,000","           -6,000","           -6,000"
"2233   ","宇隆    ","           30,000","            6,000","           24,000","                0","          340,000","         -340,000","           82,000","           54,000","           28,000","         -288,000"
"2636   ","台驊    ","           14,000","            4,000","           10,000","                0","                0","                0","                0","                0","                0","           10,000"
"2640   ","大車隊  ","            5,000","                0","            5,000","           30,000","                0","           30,000","           26,000","                0","           26,000","           61,000"
"2729   ","瓦城    ","                0","                0","                0","           27,000","                0","           27,000","            1,000","            8,000","           -7,000","           20,000"
"2924   ","F-東凌  ","                0","            5,000","           -5,000","                0","                0","                0","                0","                0","                0","           -5,000"
"2926   ","誠品生  ","                0","            3,000","           -3,000","                0","                0","                0","            1,000","            4,000","           -3,000","           -6,000"
"3068   ","美磊    ","                0","                0","                0","           67,000","                0","           67,000","                0","                0","                0","           67,000"
"3078   ","僑威    ","                0","           93,000","          -93,000","                0","                0","                0","                0","           48,000","          -48,000","         -141,000"
"3083   ","網龍    ","            5,000","            3,000","            2,000","                0","                0","                0","                0","           40,000","          -40,000","          -38,000"
"3085   ","久大    ","            2,000","            1,000","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"3086   ","華義    ","                0","           17,000","          -17,000","                0","                0","                0","                0","                0","                0","          -17,000"
"3088   ","艾訊    ","          177,000","           59,000","          118,000","                0","                0","                0","           24,000","           18,000","            6,000","          124,000"
"3089   ","展成    ","           44,000","            7,000","           37,000","                0","                0","                0","                0","                0","                0","           37,000"
"3092   ","鴻碩    ","            4,000","                0","            4,000","                0","                0","                0","                0","                0","                0","            4,000"
"3095   ","及成    ","                0","           21,000","          -21,000","                0","                0","                0","                0","                0","                0","          -21,000"
"3105   ","穩懋    ","           46,000","        1,268,000","       -1,222,000","                0","                0","                0","        2,069,000","          120,000","        1,949,000","          727,000"
