103年07月09日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資買股數,外資及陸資賣股數,外資及陸資淨買股數,投信買進股數,投信賣股數,投信淨買股數,自營商買股數,自營商賣股數,自營淨買股數,三大法人買賣超股數
"006201 ","寶富櫃  ","                0","                0","                0","                0","                0","                0","          289,000","            1,000","          288,000","          288,000"
"1256   ","F-鮮活  ","                0","            4,000","           -4,000","                0","                0","                0","            2,000","           80,000","          -78,000","          -82,000"
"1336   ","台翰    ","                0","           19,000","          -19,000","                0","                0","                0","                0","                0","                0","          -19,000"
"1558   ","伸興    ","          117,000","            6,000","          111,000","           34,000","                0","           34,000","            3,000","           34,000","          -31,000","          114,000"
"1565   ","精華    ","          415,000","          298,000","          117,000","                0","           66,000","          -66,000","           14,000","           11,000","            3,000","           54,000"
"1569   ","濱川    ","            1,000","            5,000","           -4,000","                0","                0","                0","                0","                0","                0","           -4,000"
"1580   ","新麥    ","           25,000","            6,000","           19,000","                0","           10,000","          -10,000","                0","           27,000","          -27,000","          -18,000"
"1586   ","和勤    ","          399,000","            9,000","          390,000","                0","                0","                0","                0","                0","                0","          390,000"
"1591   ","F-駿吉  ","                0","                0","                0","                0","                0","                0","           10,000","                0","           10,000","           10,000"
"1595   ","川寶    ","            2,000","            1,000","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"1742   ","台蠟    ","           37,000","            2,000","           35,000","                0","                0","                0","                0","                0","                0","           35,000"
"1777   ","生泰    ","                0","            8,000","           -8,000","                0","                0","                0","                0","                0","                0","           -8,000"
"1784   ","訊聯    ","                0","            2,000","           -2,000","                0","                0","                0","                0","                0","                0","           -2,000"
"1785   ","光洋科  ","           47,000","          156,000","         -109,000","                0","                0","                0","          159,000","           55,000","          104,000","           -5,000"
"1787   ","福盈科  ","                0","           43,000","          -43,000","          200,000","          194,000","            6,000","           65,000","          412,000","         -347,000","         -384,000"
"1788   ","杏昌    ","           27,000","            4,000","           23,000","                0","                0","                0","            2,000","                0","            2,000","           25,000"
"1795   ","美時    ","                0","            6,000","           -6,000","          100,000","                0","          100,000","           49,000","           36,000","           13,000","          107,000"
"1799   ","紅電醫  ","                0","           55,000","          -55,000","                0","                0","                0","                0","                0","                0","          -55,000"
"1813   ","寶利徠  ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"1815   ","富喬    ","            7,000","           10,000","           -3,000","                0","                0","                0","          260,000","          246,000","           14,000","           11,000"
"2035   ","唐榮    ","                0","            5,000","           -5,000","                0","                0","                0","                0","                0","                0","           -5,000"
"2061   ","風青    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"2066   ","世德    ","           24,000","            9,000","           15,000","                0","                0","                0","           15,000","            5,000","           10,000","           25,000"
"2233   ","宇隆    ","           17,000","            1,000","           16,000","                0","                0","                0","           20,000","           33,000","          -13,000","            3,000"
"2640   ","大車隊  ","            3,000","            4,000","           -1,000","                0","                0","                0","                0","            1,000","           -1,000","           -2,000"
"2719   ","燦星旅  ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"2724   ","F-富驛  ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"2729   ","瓦城    ","                0","           11,000","          -11,000","                0","                0","                0","            1,000","            5,000","           -4,000","          -15,000"
"3068   ","美磊    ","           24,000","           52,000","          -28,000","                0","           28,000","          -28,000","           50,000","                0","           50,000","           -6,000"
"3071   ","協禧    ","            6,000","           73,000","          -67,000","                0","                0","                0","                0","                0","                0","          -67,000"
"3078   ","僑威    ","           74,000","           35,000","           39,000","                0","                0","                0","           10,000","            3,000","            7,000","           46,000"
"3083   ","網龍    ","            5,000","            9,000","           -4,000","                0","                0","                0","           22,000","           15,000","            7,000","            3,000"
"3086   ","華義    ","           19,000","           18,000","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"3088   ","艾訊    ","           55,000","           29,000","           26,000","                0","          100,000","         -100,000","           23,000","           75,000","          -52,000","         -126,000"
"3089   ","展成    ","            3,000","           47,000","          -44,000","                0","                0","                0","                0","                0","                0","          -44,000"
"3092   ","鴻碩    ","            3,000","            7,000","           -4,000","                0","                0","                0","                0","                0","                0","           -4,000"
"3095   ","及成    ","            6,000","                0","            6,000","                0","                0","                0","                0","                0","                0","            6,000"
"3105   ","穩懋    ","           72,000","          183,000","         -111,000","                0","                0","                0","           77,000","          765,000","         -688,000","         -799,000"
"3114   ","好德    ","            6,000","                0","            6,000","                0","                0","                0","                0","                0","                0","            6,000"
"3118   ","進階    ","           25,000","            1,000","           24,000","                0","                0","                0","                0","                0","                0","           24,000"
"3128   ","昇銳    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3131   ","弘塑    ","                0","            1,000","           -1,000","                0","                0","                0","            2,000","            7,000","           -5,000","           -6,000"
"3141   ","晶宏    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3144   ","新揚科  ","            3,000","                0","            3,000","                0","                0","                0","                0","                0","                0","            3,000"
"3152   ","璟德    ","                0","            7,000","           -7,000","                0","                0","                0","            7,000","           10,000","           -3,000","          -10,000"
"3163   ","波若威  ","                0","           18,000","          -18,000","                0","                0","                0","                0","                0","                0","          -18,000"
"3176   ","基亞    ","                0","           61,000","          -61,000","                0","                0","                0","            2,000","           31,000","          -29,000","          -90,000"
"3188   ","安茂    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3191   ","和進    ","            6,000","                0","            6,000","                0","                0","                0","                0","                0","                0","            6,000"
"3205   ","佰研    ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"3211   ","順達    ","          622,000","          279,200","          342,800","                0","                0","                0","          259,000","          353,000","          -94,000","          248,800"
"3213   ","茂訊    ","                0","           13,000","          -13,000","                0","                0","                0","                0","                0","                0","          -13,000"
"3218   ","大學光  ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"3221   ","台嘉碩  ","            1,000","          101,000","         -100,000","                0","                0","                0","           20,000","                0","           20,000","          -80,000"
"3224   ","三顧    ","            6,000","                0","            6,000","                0","                0","                0","                0","                0","                0","            6,000"
"3227   ","原相    ","           54,000","           66,000","          -12,000","                0","                0","                0","            9,000","          115,000","         -106,000","         -118,000"
"3228   ","金麗科  ","            4,000","                0","            4,000","                0","                0","                0","                0","                0","                0","            4,000"
"3230   ","錦明    ","            2,000","                0","            2,000","                0","                0","                0","                0","                0","                0","            2,000"
"3232   ","昱捷    ","           11,000","            3,000","            8,000","                0","                0","                0","                0","                0","                0","            8,000"
"3234   ","光環    ","            9,000","            6,000","            3,000","                0","                0","                0","                0","                0","                0","            3,000"
"3236   ","千如    ","            1,000","          162,000","         -161,000","                0","                0","                0","                0","           43,000","          -43,000","         -204,000"
"3259   ","鑫創    ","            1,000","            2,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3260   ","威剛    ","          720,000","          116,000","          604,000","                0","                0","                0","           33,000","          133,000","         -100,000","          504,000"
"3264   ","欣銓    ","          752,000","           29,000","          723,000","                0","                0","                0","          154,000","        1,275,000","       -1,121,000","         -398,000"
"3265   ","台星科  ","            2,000","            9,000","           -7,000","                0","                0","                0","           22,000","                0","           22,000","           15,000"
"3266   ","昇陽    ","            1,000","                0","            1,000","                0","                0","                0","                0","            5,000","           -5,000","           -4,000"
"3268   ","海德威  ","            3,000","            4,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3276   ","宇環    ","          114,000","          144,000","          -30,000","                0","                0","                0","                0","          404,000","         -404,000","         -434,000"
"3284   ","太普高  ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3288   ","點晶    ","                0","            1,000","           -1,000","                0","                0","                0","                0","                0","                0","           -1,000"
"3289   ","宜特    ","            8,000","            5,000","            3,000","                0","           80,000","          -80,000","            3,000","          342,000","         -339,000","         -416,000"
"3290   ","東浦    ","            1,000","            7,000","           -6,000","                0","                0","                0","                0","                0","                0","           -6,000"
"3291   ","遠翔科  ","                0","            8,000","           -8,000","                0","                0","                0","                0","                0","                0","           -8,000"
"3293   ","鈊象    ","           12,000","          116,000","         -104,000","            6,000","                0","            6,000","          240,000","            5,000","          235,000","          137,000"
"3294   ","英濟    ","            1,000","                0","            1,000","                0","                0","                0","                0","                0","                0","            1,000"
"3297   ","杭特    ","                0","                0","                0","                0","           12,000","          -12,000","                0","                0","                0","          -12,000"
"3299   ","帛漢    ","           31,000","           23,000","            8,000","                0","                0","                0","                0","                0","                0","            8,000"
"3303   ","岱稜    ","            7,000","                0","            7,000","                0","                0","                0","          170,000","                0","          170,000","          177,000"
