102/02/18上櫃股票行情(含等價、零股、盤後、鉅額交易)
Data Date:102/02/18
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","寶富櫃","10.57","-0.01 ","10.58","10.58","10.50","10.53","166,000","1,747,830","35","10.52","10.57","62,446,000","10.57","11.30","9.84"
"006202","寶富盈","25.10","+0.10","25.20","25.20","25.10","25.17","9,000","226,500","6","24.71","25.10","55,999,000","25.10","26.85","23.35"
"1256","F-鮮活","72.60","+3.10","73.00","74.00","70.80","71.96","112,100","8,066,890","70","72.30","72.60","17,640,000","72.60","77.60","67.60"
"1258","F-其祥","27.00","+0.40","26.60","27.10","26.50","26.83","32,000","858,600","21","26.70","27.00","34,000,000","27.00","28.85","25.15"
"1259","安心","82.90","+0.70","83.00","83.00","82.90","82.99","13,300","1,103,800","24","82.80","83.00","32,389,500","82.90","88.70","77.10"
"1333","恩得利","4.08","-0.22 ","4.32","4.32","4.00","4.09","628,152","2,568,059","197","4.06","4.08","102,525,625","4.08","4.36","3.80"
"1336","台翰","9.90","0.00 ","9.95","9.96","9.88","9.91","297,000","2,941,870","17","9.85","9.90","64,253,230","9.90","10.55","9.21"
"1558","伸興","111.00","+3.50","112.00","112.00","110.00","110.71","295,553","32,720,830","234","110.50","111.00","51,669,173","111.00","118.50","103.50"
"1565","精華","494.00","+3.00","491.00","502.00","491.00","496.55","253,420","125,834,870","255","494.00","496.00","50,416,516","494.00","528.00","459.50"
"1566","捷邦","34.50","-1.20 ","37.20","37.50","34.50","36.18","1,099,736","39,792,884","456","34.50","35.00","42,009,870","34.50","36.90","32.10"
"1569","濱川","37.15","+2.40","36.50","37.15","35.50","36.77","1,954,999","71,879,560","1,037","37.15","0.00","79,042,213","37.15","39.75","34.55"
"1570","力肯","6.92","-0.05 ","6.95","6.95","6.73","6.84","4,000","27,340","4","6.88","6.91","51,500,839","6.92","7.40","6.44"
"1580","新麥","126.50","+1.50","126.00","126.50","125.00","125.91","95,575","12,034,236","74","126.00","126.50","42,749,355","126.50","135.00","118.00"
"1584","精剛","15.80","-0.35 ","16.15","16.15","15.55","15.96","312,702","4,989,542","140","15.80","15.90","83,470,533","15.80","16.90","14.70"
"1586","和勤","17.30","-0.15 ","17.45","17.50","17.20","17.34","33,150","574,730","16","17.15","17.30","46,643,273","17.30","18.50","16.10"
"1591","F-駿吉","34.85","+0.05","35.00","35.00","34.80","34.91","106,032","3,701,494","20","34.80","35.00","20,355,000","34.85","37.25","32.45"
"1593","祺驊","25.10","+0.10","25.10","25.50","25.10","25.18","16,000","402,950","11","25.10","25.45","24,600,000","25.10","26.85","23.35"
"1595","川寶","63.20","+0.70","63.30","63.50","63.00","63.16","49,392","3,119,471","51","63.10","63.20","38,687,448","63.20","67.60","58.80"
"1597","直得","82.30","-2.00 ","84.20","86.40","82.00","83.74","1,969,100","164,883,424","1,443","82.30","82.70","53,041,704","82.30","88.00","76.60"
"1599","宏佳騰","53.70","+0.80","52.10","54.00","50.10","53.04","71,000","3,765,600","58","53.10","53.70","39,113,496","53.70","57.40","49.95"
"1742","台蠟","13.80","-0.05 ","14.10","14.10","13.80","13.90","22,246","309,206","21","13.80","13.95","64,690,524","13.80","14.75","12.85"
"1752","南光","39.45","+0.20","39.70","39.90","39.30","39.48","298,523","11,786,923","173","39.40","39.45","64,787,691","39.45","42.20","36.70"
"1777","生泰","46.35","+0.25","46.35","46.35","46.30","46.32","3,052","141,368","5","45.95","46.45","24,959,550","46.35","49.55","43.15"
"1781","合世","47.85","+1.85","47.50","48.25","46.50","47.42","1,576,001","74,729,648","957","47.80","47.85","44,571,348","47.85","51.10","44.55"
"1784","訊聯","38.50","-0.25 ","38.85","39.20","38.50","38.84","96,072","3,731,872","79","38.50","38.55","50,211,924","38.50","41.15","35.85"
"1785","光洋科","36.20","+0.20","36.60","36.60","36.05","36.23","803,846","29,122,256","408","36.20","36.25","409,060,346","36.20","38.70","33.70"
"1787","福盈科","14.90","+0.35","14.80","15.10","14.70","14.96","351,858","5,263,184","189","14.90","14.95","69,759,360","14.90","15.90","13.90"
"1788","杏昌","76.00","+0.50","76.10","76.40","75.80","76.05","128,071","9,739,443","102","75.90","76.00","35,000,000","76.00","81.30","70.70"
"1795","美時","33.05","-0.55 ","33.65","33.70","33.00","33.42","818,559","27,353,272","494","33.05","33.30","57,081,134","33.05","35.35","30.75"
"1799","紅電醫","14.25","+0.05","14.30","14.50","14.20","14.31","125,476","1,795,060","69","14.25","14.35","31,820,000","14.25","15.20","13.30"
"1813","寶利徠","43.10","+0.70","42.80","43.80","42.70","43.21","259,004","11,192,626","188","43.05","43.40","41,127,342","43.10","46.10","40.10"
"1815","富喬","13.75","+0.05","13.75","13.90","13.65","13.74","1,081,387","14,858,746","284","13.75","13.80","327,288,787","13.75","14.70","12.80"
"2035","唐榮","30.50","+0.15","30.80","30.80","30.10","30.30","11,001","333,280","9","30.10","30.60","350,000,000","30.50","32.60","28.40"
"2061","風青","23.50","0.00 ","23.70","23.70","22.50","22.89","6,000","137,350","6","22.50","23.55","41,700,100","23.50","25.10","21.90"
"2063","世鎧","26.50","+0.10","26.90","26.90","26.15","26.34","38,400","1,011,530","18","26.20","26.50","41,208,540","26.50","28.35","24.65"
"2221","大甲","15.70","-0.10 ","15.85","16.05","15.70","15.88","142,000","2,255,300","68","15.70","16.00","42,425,000","15.70","16.75","14.65"
"2233","宇隆","66.80","+4.30","66.80","66.80","66.40","66.78","497,710","33,237,928","256","66.80","0.00","37,467,969","66.80","71.40","62.20"
"2596","綠意","18.00","+0.05","18.00","18.00","17.95","18.00","139,800","2,516,140","19","17.95","18.00","71,505,000","18.00","19.25","16.75"
"2636","台驊","19.80","+0.15","20.00","20.00","19.75","19.83","52,199","1,035,130","29","19.75","19.80","72,664,763","19.80","21.15","18.45"
"2640","大車隊","74.80","+0.50","74.00","75.30","74.00","74.60","68,002","5,072,848","51","74.50","74.80","38,200,000","74.80","80.00","69.60"
"2718","桃園店","49.85","+3.25","49.70","49.85","49.70","49.84","88,000","4,385,650","30","49.85","0.00","22,576,000","49.85","53.30","46.40"
"2719","燦星旅","25.10","+0.95","24.40","25.10","24.40","24.81","237,940","5,902,660","146","25.10","25.15","36,292,000","25.10","26.85","23.35"
"2724","F-富驛","60.30","+1.10","58.60","61.60","58.60","60.58","326,876","19,801,160","203","60.20","60.40","31,642,440","60.30","64.50","56.10"
"2729","瓦城","197.50","+1.00","196.50","198.00","196.00","197.00","54,050","10,647,825","51","197.00","197.50","23,266,000","197.50","211.00","184.00"
"2916","滿心","18.30","-0.10 ","18.35","18.50","18.30","18.38","83,100","1,527,405","30","18.30","18.45","54,626,878","18.30","19.55","17.05"
"2924","F-東凌","60.00","0.00 ","60.50","60.50","60.00","60.25","11,000","662,700","9","60.00","60.10","30,237,000","60.00","64.20","55.80"
"2926","誠品生","239.00","+15.50","227.00","239.00","227.00","235.49","666,911","157,048,729","407","239.00","0.00","45,133,000","239.00","255.50","222.50"
"3064","泰偉","37.55","+1.35","37.20","38.00","37.20","37.50","314,272","11,785,158","249","37.55","37.65","72,605,141","37.55","40.15","34.95"
"3066","李洲","6.47","+0.01","6.55","6.55","6.47","6.51","34,268","223,157","10","6.47","6.50","151,037,475","6.47","6.92","6.02"
"3067","全域"," ---","--- ","---","---","---","17.20","0","0","0","16.20","17.25","29,025,240","17.20","18.40","16.00"
"3068","美磊","37.70","+0.40","37.80","39.90","37.70","38.51","330,210","12,717,275","124","37.70","38.35","79,009,935","37.70","40.30","35.10"
"3071","協禧","7.10","-0.03 ","7.20","7.20","7.06","7.10","73,843","524,359","29","7.08","7.13","182,771,800","7.10","7.59","6.61"
"3073","普格","5.41","-0.10 ","5.52","5.55","5.31","5.44","774,184","4,209,731","294","5.41","5.48","59,608,630","5.41","5.78","5.04"
"3078","僑威","9.11","+0.01","9.10","9.20","9.10","9.12","175,121","1,596,439","76","9.11","9.18","227,391,064","9.11","9.74","8.48"
"3083","網龍","58.70","-1.60 ","60.30","60.30","58.60","59.09","364,183","21,521,263","243","58.70","59.00","87,439,358","58.70","62.80","54.60"
"3085","久大","6.59","-0.16 ","6.75","6.75","6.38","6.65","118,007","785,073","43","6.59","6.69","71,226,713","6.59","7.05","6.13"
